net,length_um
_075_,106.6µm
_073_,90.76µm
_060_,83.48µm
_058_,76.445µm
_076_,73.66µm
_061_,66.36µm
_065_,59.02µm
_074_,55.12µm
_114_,54.6µm
_064_,54.34µm
net4,51.86µm
net32,51.74µm
_113_,49.97µm
net2,48.23µm
net31,45.52µm
net6,44.73µm
net3,44.365µm
_067_,43.555µm
net30,42.735µm
_115_,42.11µm
_120_,42.1µm
net5,41.66µm
_007_,38.46µm
net7,37.215µm
_085_,35.91µm
_059_,35.16µm
net1,34.26µm
_101_,31.24µm
_011_,31.22µm
_070_,30.12µm
_027_,29.7µm
_089_,29.62µm
_051_,28.76µm
net8,28.755µm
_086_,28.5µm
net23,27.92µm
net28,27.58µm
_023_,26.2µm
_029_,25.02µm
net24,24.6µm
_041_,22.02µm
net9,21.305µm
_069_,20.48µm
_100_,20.06µm
_024_,19.62µm
net10,19.22µm
_112_,18.36µm
net21,18.26µm
_068_,18.1µm
net26,17.5µm
_040_,17.4µm
net22,17.18µm
net25,16.64µm
_009_,16.62µm
_106_,16.56µm
_008_,16.16µm
_044_,15.86µm
net17,15.72µm
net13,14.72µm
_119_,14.54µm
_090_,14.02µm
_094_,13.56µm
_083_,13.5µm
opcode[0],13.45µm
_116_,12.56µm
_084_,12.46µm
_016_,12.42µm
A[2],12.24µm
opcode[1],12.13µm
result[0],11.97µm
net14,11.92µm
A[3],11.78µm
B[2],11.78µm
result[3],11.68µm
net19,11.58µm
net12,11.52µm
B[3],11.44µm
B[7],11.43µm
_099_,11.42µm
_102_,11.42µm
_002_,11.24µm
net16,11.16µm
_038_,11.06µm
_063_,10.92µm
_109_,10.67µm
_035_,10.54µm
net11,10.5µm
_017_,10.36µm
_111_,10.18µm
result[6],9.88µm
B[6],9.64µm
zero,9.42µm
_039_,9.24µm
opcode[2],9.19µm
_043_,9.14µm
_012_,9.04µm
_092_,9.02µm
_097_,8.92µm
net27,8.9µm
A[5],8.84µm
_057_,8.82µm
B[5],8.72µm
_000_,8.56µm
_030_,8.4µm
_022_,8.06µm
result[4],8.04µm
result[5],8.04µm
_010_,8µm
B[0],7.67µm
_050_,7.64µm
_004_,7.18µm
_021_,7.18µm
A[7],6.79µm
_005_,6.72µm
result[1],6.57µm
_108_,6.38µm
_080_,6.2µm
_032_,6.04µm
A[0],5.97µm
B[1],5.97µm
_047_,5.9µm
net15,5.87µm
_015_,5.82µm
_098_,5.8µm
result[2],5.75µm
result[7],5.75µm
_071_,5.72µm
_062_,5.48µm
_110_,5.48µm
_025_,5.38µm
_018_,5.16µm
A[1],5.07µm
B[4],4.95µm
_056_,4.94µm
_093_,4.91µm
net29,4.8µm
A[4],4.73µm
_095_,4.6µm
_036_,4.42µm
net18,4.42µm
carry,4.39µm
_026_,4.34µm
_104_,4.02µm
_079_,4µm
A[6],3.93µm
_020_,3.88µm
_031_,3.88µm
_034_,3.88µm
_037_,3.74µm
_052_,3.66µm
_042_,3.64µm
_072_,3.42µm
_105_,3.42µm
_006_,3.2µm
_091_,3.08µm
_077_,2.96µm
_103_,2.96µm
_045_,2.92µm
_053_,2.84µm
_087_,2.76µm
_014_,2.64µm
_081_,2.64µm
_001_,2.62µm
_055_,2.62µm
_107_,2.62µm
_118_,2.62µm
_096_,2.52µm
_066_,2.5µm
net20,2.5µm
_078_,2.4µm
_049_,2.28µm
_033_,2.16µm
_054_,1.95µm
_082_,1.72µm
_088_,1.72µm
_048_,1.7µm
_019_,1.38µm
_003_,1.26µm
_117_,1.26µm
_028_,1.15µm
_013_,0.92µm
_046_,0.8µm
