Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_16_97,VGND,li1,51.5200,54.4000,0.000017
FILLER_16_85,VGND,li1,47.3800,54.4000,0.000017
FILLER_16_76,VGND,li1,42.3200,54.4000,0.000017
FILLER_16_63,VGND,li1,35.1900,54.4000,0.000017
FILLER_16_57,VGND,li1,32.2000,54.4000,0.000015
FILLER_16_49,VGND,li1,28.7500,54.4000,0.000014
FILLER_16_37,VGND,li1,24.3800,54.4000,0.000010
FILLER_16_29,VGND,li1,19.3200,54.4000,0.000011
FILLER_16_27,VGND,li1,18.1700,54.4000,0.000011
FILLER_16_15,VGND,li1,15.1800,54.4000,0.000011
FILLER_16_3,VGND,li1,9.6600,54.4000,0.000011
FILLER_15_100,VGND,li1,52.2100,54.4000,0.000017
FILLER_15_92,VGND,li1,49.6800,54.4000,0.000017
FILLER_15_80,VGND,li1,45.0800,54.4000,0.000017
FILLER_15_57,VGND,li1,31.9700,54.4000,0.000015
FILLER_15_54,VGND,li1,30.8200,54.4000,0.000015
FILLER_15_44,VGND,li1,26.4500,54.4000,0.000012
FILLER_15_27,VGND,li1,18.4000,54.4000,0.000011
FILLER_15_15,VGND,li1,15.1800,54.4000,0.000011
FILLER_15_3,VGND,li1,9.6600,54.4000,0.000011
FILLER_14_85,VGND,li1,46.4600,48.9600,0.000023
FILLER_14_81,VGND,li1,43.4700,48.9600,0.000022
FILLER_14_73,VGND,li1,40.9400,48.9600,0.000021
FILLER_14_59,VGND,li1,33.3500,48.9600,0.000017
FILLER_14_47,VGND,li1,27.3700,48.9600,0.000014
FILLER_14_15,VGND,li1,14.2600,48.9600,0.000014
FILLER_14_3,VGND,li1,9.6600,48.9600,0.000014
FILLER_13_101,VGND,li1,52.4400,48.9600,0.000024
FILLER_13_81,VGND,li1,45.5400,48.9600,0.000023
FILLER_13_77,VGND,li1,41.1700,48.9600,0.000021
FILLER_13_68,VGND,li1,37.0300,48.9600,0.000019
FILLER_13_62,VGND,li1,35.4200,48.9600,0.000018
FILLER_13_57,VGND,li1,31.9700,48.9600,0.000017
FILLER_13_53,VGND,li1,30.5900,48.9600,0.000016
FILLER_13_45,VGND,li1,28.0600,48.9600,0.000014
FILLER_13_27,VGND,li1,18.1700,48.9600,0.000014
FILLER_13_21,VGND,li1,16.5600,48.9600,0.000014
FILLER_13_15,VGND,li1,13.1100,48.9600,0.000014
FILLER_13_3,VGND,li1,9.6600,48.9600,0.000014
FILLER_12_83,VGND,li1,43.9300,43.5200,0.000024
FILLER_12_69,VGND,li1,37.4900,43.5200,0.000021
FILLER_12_65,VGND,li1,36.3400,43.5200,0.000021
FILLER_12_54,VGND,li1,31.0500,43.5200,0.000018
FILLER_12_46,VGND,li1,28.5200,43.5200,0.000017
FILLER_12_29,VGND,li1,20.2400,43.5200,0.000019
FILLER_12_27,VGND,li1,18.1700,43.5200,0.000021
FILLER_12_3,VGND,li1,7.5900,43.5200,0.000028
FILLER_11_102,VGND,li1,52.6700,43.5200,0.000025
FILLER_11_65,VGND,li1,35.8800,43.5200,0.000021
FILLER_11_57,VGND,li1,33.5800,43.5200,0.000020
FILLER_11_55,VGND,li1,31.0500,43.5200,0.000018
FILLER_11_49,VGND,li1,29.4400,43.5200,0.000017
FILLER_11_40,VGND,li1,24.3800,43.5200,0.000015
FILLER_11_32,VGND,li1,22.0800,43.5200,0.000017
FILLER_11_20,VGND,li1,17.4800,43.5200,0.000022
FILLER_11_11,VGND,li1,11.5000,43.5200,0.000026
FILLER_10_102,VGND,li1,52.6700,38.0800,0.000025
FILLER_10_80,VGND,li1,43.2400,38.0800,0.000024
FILLER_10_69,VGND,li1,38.1800,38.0800,0.000022
FILLER_10_57,VGND,li1,34.5000,38.0800,0.000020
FILLER_10_40,VGND,li1,24.3800,38.0800,0.000014
FILLER_10_33,VGND,li1,20.9300,38.0800,0.000018
FILLER_10_29,VGND,li1,19.7800,38.0800,0.000018
FILLER_10_22,VGND,li1,17.0200,38.0800,0.000019
FILLER_10_3,VGND,li1,7.5900,38.0800,0.000022
FILLER_9_80,VGND,li1,43.7000,38.0800,0.000024
FILLER_9_72,VGND,li1,39.1000,38.0800,0.000022
FILLER_9_53,VGND,li1,30.5900,38.0800,0.000018
FILLER_9_20,VGND,li1,15.1800,38.0800,0.000021
FILLER_8_85,VGND,li1,47.3800,32.6400,0.000014
FILLER_8_76,VGND,li1,42.3200,32.6400,0.000013
FILLER_8_64,VGND,li1,37.7200,32.6400,0.000012
FILLER_8_55,VGND,li1,31.7400,32.6400,0.000010
FILLER_8_43,VGND,li1,28.0600,32.6400,0.000009
FILLER_8_27,VGND,li1,18.1700,32.6400,0.000010
