Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_16_97,VPWR,li1,51.5200,57.1200,1.799988
FILLER_16_85,VPWR,li1,47.3800,57.1200,1.799988
FILLER_16_76,VPWR,li1,42.3200,57.1200,1.799988
FILLER_16_63,VPWR,li1,35.1900,57.1200,1.799988
FILLER_16_57,VPWR,li1,32.2000,57.1200,1.799988
FILLER_16_49,VPWR,li1,28.7500,57.1200,1.799990
FILLER_16_37,VPWR,li1,24.3800,57.1200,1.799992
FILLER_16_29,VPWR,li1,19.3200,57.1200,1.799994
FILLER_16_27,VPWR,li1,18.1700,57.1200,1.799994
FILLER_16_15,VPWR,li1,15.1800,57.1200,1.799994
FILLER_16_3,VPWR,li1,9.6600,57.1200,1.799994
FILLER_15_100,VPWR,li1,52.2100,51.6800,1.799977
FILLER_15_92,VPWR,li1,49.6800,51.6800,1.799977
FILLER_15_80,VPWR,li1,45.0800,51.6800,1.799978
FILLER_15_57,VPWR,li1,31.9700,51.6800,1.799982
FILLER_15_54,VPWR,li1,30.8200,51.6800,1.799982
FILLER_15_44,VPWR,li1,26.4500,51.6800,1.799985
FILLER_15_27,VPWR,li1,18.4000,51.6800,1.799989
FILLER_15_15,VPWR,li1,15.1800,51.6800,1.799989
FILLER_15_3,VPWR,li1,9.6600,51.6800,1.799989
FILLER_14_85,VPWR,li1,46.4600,51.6800,1.799977
FILLER_14_81,VPWR,li1,43.4700,51.6800,1.799978
FILLER_14_73,VPWR,li1,40.9400,51.6800,1.799979
FILLER_14_59,VPWR,li1,33.3500,51.6800,1.799981
FILLER_14_47,VPWR,li1,27.3700,51.6800,1.799985
FILLER_14_15,VPWR,li1,14.2600,51.6800,1.799989
FILLER_14_3,VPWR,li1,9.6600,51.6800,1.799989
FILLER_13_101,VPWR,li1,52.4400,46.2400,1.799977
FILLER_13_81,VPWR,li1,45.5400,46.2400,1.799979
FILLER_13_77,VPWR,li1,41.1700,46.2400,1.799980
FILLER_13_68,VPWR,li1,37.0300,46.2400,1.799982
FILLER_13_62,VPWR,li1,35.4200,46.2400,1.799982
FILLER_13_57,VPWR,li1,31.9700,46.2400,1.799984
FILLER_13_53,VPWR,li1,30.5900,46.2400,1.799985
FILLER_13_45,VPWR,li1,28.0600,46.2400,1.799986
FILLER_13_27,VPWR,li1,18.1700,46.2400,1.799990
FILLER_13_21,VPWR,li1,16.5600,46.2400,1.799989
FILLER_13_15,VPWR,li1,13.1100,46.2400,1.799988
FILLER_13_3,VPWR,li1,9.6600,46.2400,1.799988
FILLER_12_83,VPWR,li1,43.9300,46.2400,1.799979
FILLER_12_69,VPWR,li1,37.4900,46.2400,1.799981
FILLER_12_65,VPWR,li1,36.3400,46.2400,1.799982
FILLER_12_54,VPWR,li1,31.0500,46.2400,1.799985
FILLER_12_46,VPWR,li1,28.5200,46.2400,1.799986
FILLER_12_29,VPWR,li1,20.2400,46.2400,1.799990
FILLER_12_27,VPWR,li1,18.1700,46.2400,1.799990
FILLER_12_3,VPWR,li1,7.5900,46.2400,1.799988
FILLER_11_102,VPWR,li1,52.6700,40.8000,1.799976
FILLER_11_65,VPWR,li1,35.8800,40.8000,1.799980
FILLER_11_57,VPWR,li1,33.5800,40.8000,1.799981
FILLER_11_55,VPWR,li1,31.0500,40.8000,1.799983
FILLER_11_49,VPWR,li1,29.4400,40.8000,1.799983
FILLER_11_40,VPWR,li1,24.3800,40.8000,1.799985
FILLER_11_32,VPWR,li1,22.0800,40.8000,1.799987
FILLER_11_20,VPWR,li1,17.4800,40.8000,1.799983
FILLER_11_11,VPWR,li1,11.5000,40.8000,1.799980
FILLER_10_102,VPWR,li1,52.6700,40.8000,1.799976
FILLER_10_80,VPWR,li1,43.2400,40.8000,1.799977
FILLER_10_69,VPWR,li1,38.1800,40.8000,1.799979
FILLER_10_57,VPWR,li1,34.5000,40.8000,1.799981
FILLER_10_40,VPWR,li1,24.3800,40.8000,1.799985
FILLER_10_33,VPWR,li1,20.9300,40.8000,1.799985
FILLER_10_29,VPWR,li1,19.7800,40.8000,1.799985
FILLER_10_22,VPWR,li1,17.0200,40.8000,1.799983
FILLER_10_3,VPWR,li1,7.5900,40.8000,1.799979
FILLER_9_80,VPWR,li1,43.7000,35.3600,1.799979
FILLER_9_72,VPWR,li1,39.1000,35.3600,1.799981
FILLER_9_53,VPWR,li1,30.5900,35.3600,1.799984
FILLER_9_20,VPWR,li1,15.1800,35.3600,1.799986
FILLER_8_85,VPWR,li1,47.3800,35.3600,1.799979
FILLER_8_76,VPWR,li1,42.3200,35.3600,1.799980
FILLER_8_64,VPWR,li1,37.7200,35.3600,1.799981
FILLER_8_55,VPWR,li1,31.7400,35.3600,1.799983
FILLER_8_43,VPWR,li1,28.0600,35.3600,1.799985
FILLER_8_27,VPWR,li1,18.1700,35.3600,1.799987
FILLER_8_23,VPWR,li1,17.0200,35.3600,1.799987
FILLER_7_98,VPWR,li1,50.8300,29.9200,1.799984
FILLER_7_83,VPWR,li1,44.6200,29.9200,1.799985
FILLER_7_79,VPWR,li1,42.0900,29.9200,1.799986
FILLER_7_75,VPWR,li1,40.9400,29.9200,1.799986
FILLER_7_57,VPWR,li1,32.4300,29.9200,1.799989
FILLER_7_50,VPWR,li1,29.9000,29.9200,1.799990
FILLER_7_43,VPWR,li1,25.7600,29.9200,1.799991
FILLER_7_31,VPWR,li1,22.5400,29.9200,1.799993
FILLER_7_19,VPWR,li1,17.0200,29.9200,1.799993
FILLER_7_7,VPWR,li1,11.5000,29.9200,1.799992
FILLER_6_101,VPWR,li1,52.4400,29.9200,1.799983
FILLER_6_82,VPWR,li1,43.7000,29.9200,1.799985
FILLER_6_68,VPWR,li1,38.1800,29.9200,1.799987
FILLER_6_56,VPWR,li1,32.2000,29.9200,1.799989
FILLER_6_29,VPWR,li1,20.7000,29.9200,1.799994
FILLER_6_25,VPWR,li1,17.7100,29.9200,1.799993
FILLER_6_17,VPWR,li1,13.8000,29.9200,1.799992
FILLER_5_102,VPWR,li1,52.6700,24.4800,1.799973
FILLER_5_82,VPWR,li1,43.4700,24.4800,1.799976
FILLER_5_74,VPWR,li1,41.4000,24.4800,1.799977
FILLER_5_65,VPWR,li1,35.8800,24.4800,1.799980
FILLER_5_57,VPWR,li1,33.5800,24.4800,1.799981
FILLER_5_53,VPWR,li1,30.5900,24.4800,1.799983
FILLER_5_45,VPWR,li1,26.4500,24.4800,1.799986
FILLER_5_28,VPWR,li1,19.3200,24.4800,1.799987
FILLER_5_3,VPWR,li1,7.1300,24.4800,1.799985
FILLER_4_93,VPWR,li1,48.9900,24.4800,1.799974
FILLER_4_85,VPWR,li1,46.4600,24.4800,1.799975
FILLER_4_81,VPWR,li1,43.4700,24.4800,1.799976
FILLER_4_59,VPWR,li1,34.5000,24.4800,1.799981
FILLER_4_47,VPWR,li1,29.9000,24.4800,1.799984
FILLER_4_34,VPWR,li1,22.5400,24.4800,1.799988
FILLER_4_27,VPWR,li1,18.1700,24.4800,1.799987
FILLER_4_10,VPWR,li1,10.3500,24.4800,1.799985
